Month,Year,Bank_ID,Bank_Transactions,Bank_Success_Count,Bank_Failure_Count,Bank_Failure_Rate
2023-01,2023,B01,415026,409442,5584,0.0135
2023-01,2023,B02,297697,294814,2883,0.0097
2023-01,2023,B03,344780,339258,5522,0.016
2023-01,2023,B04,402860,400502,2358,0.0059
2023-01,2023,B05,338698,332963,5735,0.0169
2023-01,2023,B06,438708,431705,7003,0.016
2023-01,2023,B07,416382,413261,3121,0.0075
2023-01,2023,B08,290174,286277,3897,0.0134
2023-01,2023,B09,502772,497471,5301,0.0105
2023-01,2023,B10,466072,463386,2686,0.0058
2023-01,2023,B11,373309,366337,6972,0.0187
2023-01,2023,B12,321692,319952,1740,0.0054
2023-02,2023,B01,412607,408818,3789,0.0092
2023-02,2023,B02,386037,383924,2113,0.0055
2023-02,2023,B03,367601,360828,6773,0.0184
2023-02,2023,B04,316408,314321,2087,0.0066
2023-02,2023,B05,362757,358061,4696,0.0129
2023-02,2023,B06,325067,322915,2152,0.0066
2023-02,2023,B07,436011,432824,3187,0.0073
2023-02,2023,B08,379689,373791,5898,0.0155
2023-02,2023,B09,315537,309924,5613,0.0178
2023-02,2023,B10,405290,401415,3875,0.0096
2023-02,2023,B11,508973,501222,7751,0.0152
2023-02,2023,B12,330257,325871,4386,0.0133
2023-03,2023,B01,323629,322201,1428,0.0044
2023-03,2023,B02,517900,512030,5870,0.0113
2023-03,2023,B03,398724,397274,1450,0.0036
2023-03,2023,B04,340052,337964,2088,0.0061
2023-03,2023,B05,489922,484424,5498,0.0112
2023-03,2023,B06,496269,490320,5949,0.012
2023-03,2023,B07,312493,308867,3626,0.0116
2023-03,2023,B08,328988,325759,3229,0.0098
2023-03,2023,B09,435112,433668,1444,0.0033
2023-03,2023,B10,339848,334237,5611,0.0165
2023-03,2023,B11,340161,335513,4648,0.0137
2023-03,2023,B12,388287,384669,3618,0.0093
2023-04,2023,B01,592442,584365,8077,0.0136
2023-04,2023,B02,398991,391328,7663,0.0192
2023-04,2023,B03,463315,455499,7816,0.0169
2023-04,2023,B04,316948,311735,5213,0.0164
2023-04,2023,B05,439356,433753,5603,0.0128
2023-04,2023,B06,310945,306983,3962,0.0127
2023-04,2023,B07,355981,351542,4439,0.0125
2023-04,2023,B08,486173,481083,5090,0.0105
2023-04,2023,B09,485471,477577,7894,0.0163
2023-04,2023,B10,373775,369553,4222,0.0113
2023-04,2023,B11,480715,473651,7064,0.0147
2023-04,2023,B12,496082,493742,2340,0.0047
2023-05,2023,B01,338973,336087,2886,0.0085
2023-05,2023,B02,388849,382856,5993,0.0154
2023-05,2023,B03,372716,370165,2551,0.0068
2023-05,2023,B04,306760,302737,4023,0.0131
2023-05,2023,B05,485404,481506,3898,0.008
2023-05,2023,B06,501052,499026,2026,0.004
2023-05,2023,B07,575782,570175,5607,0.0097
2023-05,2023,B08,424314,419470,4844,0.0114
2023-05,2023,B09,411917,408929,2988,0.0073
2023-05,2023,B10,304770,299430,5340,0.0175
2023-05,2023,B11,426182,422251,3931,0.0092
2023-05,2023,B12,326617,322468,4149,0.0127
2023-06,2023,B01,508537,503540,4997,0.0098
2023-06,2023,B02,472677,469231,3446,0.0073
2023-06,2023,B03,414165,409059,5106,0.0123
2023-06,2023,B04,388061,382256,5805,0.015
2023-06,2023,B05,333359,327370,5989,0.018
2023-06,2023,B06,391506,389530,1976,0.005
2023-06,2023,B07,344811,339930,4881,0.0142
2023-06,2023,B08,409366,406605,2761,0.0067
2023-06,2023,B09,462507,454567,7940,0.0172
2023-06,2023,B10,468654,463332,5322,0.0114
2023-06,2023,B11,350315,344308,6007,0.0171
2023-06,2023,B12,375222,372796,2426,0.0065
2023-07,2023,B01,333696,331812,1884,0.0056
2023-07,2023,B02,396251,392870,3381,0.0085
2023-07,2023,B03,332871,326438,6433,0.0193
2023-07,2023,B04,418317,411710,6607,0.0158
2023-07,2023,B05,521906,512434,9472,0.0181
2023-07,2023,B06,298759,294292,4467,0.015
2023-07,2023,B07,444998,440877,4121,0.0093
2023-07,2023,B08,385434,381291,4143,0.0107
2023-07,2023,B09,418749,411775,6974,0.0167
2023-07,2023,B10,440764,432836,7928,0.018
2023-07,2023,B11,270098,264907,5191,0.0192
2023-07,2023,B12,371003,363904,7099,0.0191
