Transaction_ID,Month,Year,Region_ID,App_ID,Bank_ID,Transaction_Count,Transaction_Value,Success_Count,Failure_Count,Avg_Ticket_Size
1,2023-01,2023,R01,A01,B09,81335,24316189.86,80490,845,298.96
2,2023-01,2023,R01,A02,B06,77829,24662058.18,77421,408,316.87
3,2023-01,2023,R01,A03,B07,49514,11316667.98,49233,281,228.55
4,2023-01,2023,R01,A04,B06,18687,3007181.9,18553,134,160.92
5,2023-01,2023,R02,A01,B06,106736,30318001.38,105305,1431,284.05
6,2023-01,2023,R02,A02,B02,94772,26416831.1,93690,1082,278.74
7,2023-01,2023,R02,A03,B12,67194,17586797.17,66307,887,261.73
8,2023-01,2023,R02,A04,B10,31262,5649888.61,30764,498,180.73
9,2023-01,2023,R03,A01,B07,123377,32852560.18,121885,1492,266.28
10,2023-01,2023,R03,A02,B06,87283,28027918.52,85912,1371,321.12
11,2023-01,2023,R03,A03,B08,53741,12962050.21,53048,693,241.19
12,2023-01,2023,R03,A04,B11,18567,2871861.48,18281,286,154.68
13,2023-01,2023,R04,A01,B02,89691,22987849.78,88195,1496,256.3
14,2023-01,2023,R04,A02,B10,67668,20738445.16,66728,940,306.47
15,2023-01,2023,R04,A03,B07,50135,13654234.0,49904,231,272.35
16,2023-01,2023,R04,A04,B11,18842,3103436.04,18526,316,164.71
17,2023-01,2023,R05,A01,B06,68939,18647939.51,67742,1197,270.5
18,2023-01,2023,R05,A02,B01,48840,12562554.89,48293,547,257.22
19,2023-01,2023,R05,A03,B11,30352,5912746.34,30179,173,194.81
20,2023-01,2023,R05,A04,B05,12840,2378143.78,12693,147,185.21
21,2023-01,2023,R06,A01,B06,50731,13914588.21,50396,335,274.28
22,2023-01,2023,R06,A02,B11,44006,9962502.84,43623,383,226.39
23,2023-01,2023,R06,A03,B06,33792,7440022.14,33438,354,220.17
24,2023-01,2023,R06,A04,B08,14269,3026890.47,14190,79,212.13
25,2023-01,2023,R07,A01,B05,57372,15680036.4,56680,692,273.3
26,2023-01,2023,R07,A02,B07,39539,9463432.17,39105,434,239.34
27,2023-01,2023,R07,A03,B01,26186,7076980.2,25944,242,270.26
28,2023-01,2023,R07,A04,B09,9723,2112539.19,9573,150,217.27
29,2023-01,2023,R08,A01,B05,140456,40405943.74,139858,598,287.68
30,2023-01,2023,R08,A02,B02,90563,22812879.33,89483,1080,251.9
31,2023-01,2023,R08,A03,B06,79120,17900781.95,78598,522,226.25
32,2023-01,2023,R08,A04,B04,28546,6071217.92,28417,129,212.68
33,2023-01,2023,R09,A01,B01,106578,35202783.27,104848,1730,330.3
34,2023-01,2023,R09,A02,B11,97232,26672643.85,96529,703,274.32
35,2023-01,2023,R09,A03,B12,64124,15099627.67,63789,335,235.48
36,2023-01,2023,R09,A04,B11,21969,4551880.09,21832,137,207.2
37,2023-01,2023,R10,A01,B04,88853,23380818.15,88123,730,263.14
38,2023-01,2023,R10,A02,B09,73759,18396895.34,72482,1277,249.42
39,2023-01,2023,R10,A03,B09,51875,11898774.53,51582,293,229.37
40,2023-01,2023,R10,A04,B10,22629,4033509.25,22528,101,178.25
